K,new_K,use_global_prior,learning_rate,avg_corr,median_corr,min_corr,silhouette_avg,dbi,cell_type_column,silhouette_NMF,input_conc,best_elbo,cell_type_accuracy,subtissue_accuracy,age_accuracy,wayp,mean_cell_entropy,overall_cell_total_entropy,Source
50,10,False,0.1,0.8821267212691222,0.8742685588596539,0.857951871621213,0.009000664,4.899199888498437,cell_ontology_class,,1.0108647,88330981.42877197,0.8672544080604534,0.3418136020151133,0.575566750629723,NO,0.9686797938134726,19227.325227403617,BrainOnly
20,20,True,0.1,0.4542141110019551,0.4623320117737813,0.4296488959141761,0.09618755,6.277860634264396,cell_ontology_class,,inf,536401380.7654988,0.8612090680100756,0.3007556675062972,0.446095717884131,NO,1.8769370045735088,37255.32260377958,BrainOnly
50,32,True,0.1,0.7020432531248076,0.7095551440002055,0.6836143617618015,0.08171949,5.449860773041133,cell_ontology_class,,0.98780364,88605689.91332774,0.8836272040302267,0.3428211586901763,0.6234256926952141,NO,2.3021679378605984,45695.73139859502,BrainOnly
100,10,True,0.1,0.7459222546041135,0.794308713959897,0.6094434661833615,-0.1150362,5.870306685679751,cell_ontology_class,,0.96021366,89486334.45005724,0.8168765743073048,0.3307304785894207,0.5183879093198992,NO,1.3533809694262633,26863.258862141894,BrainOnly
20,20,True,0.1,0.3527748942911096,0.320974948238252,0.3199785132349214,0.0833171,6.403185584473645,cell_ontology_class,,inf,533732199.3115814,0.8526448362720404,0.3125944584382871,0.4591939546599496,NO,1.942059068796132,38547.93045653443,BrainOnly
50,50,True,0.1,0.2291651212185136,0.2252683273364679,0.2136613615744804,0.045881923,6.621394823167423,cell_ontology_class,,inf,485237558.62568593,0.8629722921914358,0.3002518891687657,0.5095717884130982,NO,2.262114108208598,44900.70293383247,BrainOnly
50,11,False,0.1,0.5906045422268408,0.5873010176625235,0.2272456533862168,0.13951772,4.846403764034021,cell_ontology_class,,1.0101486,88306761.56823963,0.8667506297229219,0.3370277078085642,0.5596977329974812,NO,0.7238531173979343,14367.7605272316,BrainOnly
20,20,False,0.1,0.6949291867863118,0.6963624634851292,0.656401552463002,0.25014314,5.141873793079321,cell_ontology_class,,1.016795,87770878.48982461,0.8667506297229219,0.3471032745591939,0.5884130982367758,NO,0.9251371148893852,18363.046593439405,BrainOnly
20,20,False,0.1,0.3970630545490141,0.394627010213962,0.3794226078237223,0.0878648,5.48373359698995,cell_ontology_class,,inf,520213725.0204468,0.8629722921914358,0.3030226700251889,0.4657430730478589,NO,1.7934438865390585,35598.06770391377,BrainOnly
50,47,False,0.1,0.2168860489615554,0.2128822874296885,0.21255739729075,0.053369775,7.1140514229595,cell_ontology_class,,inf,478211286.1196749,0.851889168765743,0.3196473551637279,0.5032745591939547,NO,2.1858073458453107,43386.09000768357,BrainOnly
