cell_id,psap_expression
D16-MAA000424-3_11_M-1-1,2.55475
D16-MAA000581-3_10_M-1-1,2.8222282
D17-B003275-3_38_F-1-1,3.006148
D17-MAA000581-3_10_M-1-1,2.3961225
D17-MAA000923-3_9_M-1-1,2.453211
D18-MAA000561-3_10_M-1-1,1.5723886
D18-MAA001895-3_38_F-1-1,1.607082
D19-MAA000561-3_10_M-1-1,1.6435516
D19-MAA000581-3_10_M-1-1,2.9621482
D19-MAA000941-3_8_M-1-1,2.2140374
D1-MAA000932-3_11_M-1-1,1.265157
D1-MAA001895-3_38_F-1-1,1.1694688
D20-MAA001895-3_38_F-1-1,2.1359556
D21-B003275-3_38_F-1-1,2.241054
D21-MAA000561-3_10_M-1-1,2.2707129
D22-B003275-3_38_F-1-1,3.5712867
D2-B003290-3_38_F-1-1,0.0
D3-B003290-3_38_F-1-1,0.9090824
D3-MAA000932-3_11_M-1-1,1.1715912
D3-MAA001845-3_39_F-1-1,0.12048938
D3-MAA001895-3_38_F-1-1,1.4812295
D4-B003290-3_38_F-1-1,2.521256
D4-MAA001845-3_39_F-1-1,1.5652059
D4-MAA001895-3_38_F-1-1,0.71337515
D5-MAA000564-3_10_M-1-1,3.1185384
D5-MAA000932-3_11_M-1-1,2.6577275
D5-MAA001845-3_39_F-1-1,1.9363948
D6-B003275-3_38_F-1-1,2.7815175
D6-MAA001894-3_39_F-1-1,2.4430566
D7-B003275-3_38_F-1-1,3.2613435
D7-MAA000932-3_11_M-1-1,0.68520635
D7-MAA001895-3_38_F-1-1,2.410238
D9-B003290-3_38_F-1-1,1.9728634
D9-MAA000553-3_10_M-1-1,2.96376
D9-MAA001895-3_38_F-1-1,1.9602526
E10-B003275-3_38_F-1-1,2.3350232
E10-B003290-3_38_F-1-1,1.5363976
E11-B003275-3_38_F-1-1,2.1947482
E11-B003290-3_38_F-1-1,0.0
E11-MAA000932-3_11_M-1-1,2.1658406
E12-MAA000581-3_10_M-1-1,2.8215258
E12-MAA001895-3_38_F-1-1,1.4775879
E13-B003290-3_38_F-1-1,2.210604
