,cell_id_index,cell_type,junction_id_index,junc_count,cluster_count,junction_id,Cluster,gene_id,junc_ratio
852972,343,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,31.0,92,10_60296002_60299097,5903,Psap,0.33695652173913043
852973,344,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,15.0,50,10_60296002_60299097,5903,Psap,0.3
852974,345,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,22.0,50,10_60296002_60299097,5903,Psap,0.44
852975,346,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,23.0,67,10_60296002_60299097,5903,Psap,0.34328358208955223
852976,347,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,22.0,28,10_60296002_60299097,5903,Psap,0.7857142857142857
852977,348,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,44.0,109,10_60296002_60299097,5903,Psap,0.4036697247706422
852978,349,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,37.0,82,10_60296002_60299097,5903,Psap,0.45121951219512196
852979,350,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,283.0,325,10_60296002_60299097,5903,Psap,0.8707692307692307
852980,351,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,12.0,20,10_60296002_60299097,5903,Psap,0.6
852981,352,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,15.0,27,10_60296002_60299097,5903,Psap,0.5555555555555556
852982,353,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,125.0,223,10_60296002_60299097,5903,Psap,0.5605381165919282
852983,354,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,47.0,86,10_60296002_60299097,5903,Psap,0.5465116279069767
852984,355,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,17.0,20,10_60296002_60299097,5903,Psap,0.85
852985,356,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,9.0,93,10_60296002_60299097,5903,Psap,0.0967741935483871
852986,357,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,16.0,30,10_60296002_60299097,5903,Psap,0.5333333333333333
